dataset_kind,quarter,date,persistent_tree_id,scenario,simulated_manual_dbh_cm,simulated_ai_dbh_cm,seed
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-001,steady,65.88,66.41,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-002,slow,63.31,63.4,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-003,stalled,13.18,12.82,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-004,negative_review,49.51,49.79,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-005,steady,14.31,14.32,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-006,slow,32.97,33.16,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-007,stalled,13.84,13.57,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-008,negative_review,19.15,18.76,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-009,steady,14.12,14.15,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-010,slow,32.56,33.0,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-011,stalled,95.66,95.36,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-012,negative_review,137.21,136.97,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-013,steady,103.0,103.03,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-014,slow,97.3,97.67,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-015,stalled,63.06,63.27,42
simulated,2022Q3,2022-09-30,SIM-PERSISTENT-016,negative_review,57.88,58.13,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-001,steady,66.06,65.98,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-002,slow,63.32,63.62,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-003,stalled,13.29,14.17,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-004,negative_review,49.62,49.42,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-005,steady,14.54,15.09,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-006,slow,33.03,33.4,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-007,stalled,14.13,14.17,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-008,negative_review,19.17,19.18,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-009,steady,14.43,14.05,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-010,slow,32.62,32.82,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-011,stalled,95.75,96.11,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-012,negative_review,137.38,138.22,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-013,steady,103.13,103.03,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-014,slow,97.3,97.18,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-015,stalled,63.29,63.19,42
simulated,2022Q4,2022-12-31,SIM-PERSISTENT-016,negative_review,58.05,58.41,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-001,steady,66.27,66.33,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-002,slow,63.29,63.13,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-003,stalled,13.42,13.7,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-004,negative_review,49.83,49.9,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-005,steady,14.76,14.92,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-006,slow,33.11,33.47,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-007,stalled,14.35,14.14,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-008,negative_review,19.37,19.58,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-009,steady,14.61,14.68,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-010,slow,32.72,32.65,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-011,stalled,95.96,96.05,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-012,negative_review,137.53,137.31,42
simulated,2023Q1,2023-03-31,SIM-PERSISTENT-013,steady,103.19,103.77,42
