"dataset_kind","site_id","park_name","scan_id","local_tree_id","persistent_tree_id","quarter","date","scenario","simulated_manual_dbh_cm","simulated_ai_dbh_cm","simulated_height_m","simulated_latitude","simulated_longitude","simulated_measurement_height_m","identity_kind","position_kind","reference_scan_id","reference_tree_id","seed"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q3","Tree_001","SIM-park-4094350e24-Tree_001","2022Q3","2022-09-30","steady","64.95","65.24","15.81","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2022Q4","Tree_001","SIM-park-4094350e24-Tree_001","2022Q4","2022-12-31","steady","65.14","65.51","15.83","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q1","Tree_001","SIM-park-4094350e24-Tree_001","2023Q1","2023-03-31","steady","65.23","65.29","15.84","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q2","Tree_001","SIM-park-4094350e24-Tree_001","2023Q2","2023-06-30","steady","65.49","65.3","15.86","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q3","Tree_001","SIM-park-4094350e24-Tree_001","2023Q3","2023-09-30","steady","65.54","65.65","15.88","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2023Q4","Tree_001","SIM-park-4094350e24-Tree_001","2023Q4","2023-12-31","steady","65.72","65.58","15.89","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q1","Tree_001","SIM-park-4094350e24-Tree_001","2024Q1","2024-03-31","steady","65.84","66.4","15.91","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q2","Tree_001","SIM-park-4094350e24-Tree_001","2024Q2","2024-06-30","steady","66.01","66.43","15.92","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q3","Tree_001","SIM-park-4094350e24-Tree_001","2024Q3","2024-09-30","steady","66.19","65.77","15.94","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
"simulated","park-4094350e24","臺中公園","sim20260327tcp001-2024Q4","Tree_001","SIM-park-4094350e24-Tree_001","2024Q4","2024-12-31","steady","66.23","66.38","15.96","24.1429215","120.6844633","1.3","simulated","simulated","20260818092855","Tree_001","20260923"
