epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4716,1.47242,2.66797,1.41524,1.69136,0,0.75614,0.76754,0.78803,0.48019,0.82306,0.78218,0.80727,0.49675,1.22656,1.34533,1.16194,1.64255,0,0.000664688,0.000664688,0.000664688
2,110.034,1.46251,2.1611,1.46677,1.66423,0,0.68431,0.66533,0.71424,0.39432,0.78804,0.77305,0.77884,0.46222,1.35789,1.27812,1.24133,1.72876,0,0.00131488,0.00131488,0.00131488
3,162.247,1.52217,2.10088,1.544,1.69024,0,0.69293,0.782,0.75915,0.41707,0.75232,0.73267,0.77468,0.43807,1.39144,1.20448,1.25273,1.72257,0,0.00194857,0.00194857,0.00194857
4,214.338,1.54189,2.05795,1.58705,1.7132,0,0.68858,0.74257,0.71428,0.36161,0.70695,0.76238,0.73446,0.41721,1.40566,1.13988,1.36696,1.71645,0,0.00192575,0.00192575,0.00192575
5,266.49,1.52675,2.04479,1.52484,1.70605,0,0.75902,0.6861,0.75815,0.3695,0.80221,0.75248,0.78727,0.41903,1.43381,1.20727,1.35171,1.73083,0,0.001901,0.001901,0.001901
6,317.686,1.54673,2.02453,1.54205,1.69467,0,0.6628,0.67327,0.69307,0.36065,0.76002,0.75255,0.79546,0.44329,1.49263,1.22403,1.30191,1.77978,0,0.00187625,0.00187625,0.00187625
7,370.864,1.55249,2.04101,1.57641,1.70118,0,0.70477,0.69307,0.67348,0.38101,0.84448,0.74257,0.79712,0.4378,1.3079,1.16534,1.30522,1.6399,0,0.0018515,0.0018515,0.0018515
8,422.827,1.54326,1.98986,1.51328,1.6855,0,0.71981,0.68677,0.72869,0.37446,0.80039,0.74257,0.78756,0.42109,1.38275,1.16964,1.35784,1.72349,0,0.00182675,0.00182675,0.00182675
9,473.732,1.53932,1.97805,1.53751,1.68092,0,0.73877,0.72804,0.75806,0.36938,0.83721,0.78218,0.80569,0.44809,1.49244,1.1343,1.37008,1.76754,0,0.001802,0.001802,0.001802
10,526.91,1.53737,1.91068,1.5176,1.68644,0,0.75761,0.65347,0.73567,0.40672,0.84365,0.69307,0.77126,0.46327,1.44651,1.15854,1.25211,1.7429,0,0.00177725,0.00177725,0.00177725
11,579.559,1.51912,1.96515,1.53172,1.6957,0,0.8124,0.68605,0.76207,0.43342,0.8726,0.76238,0.8,0.458,1.35047,1.1217,1.22821,1.67826,0,0.0017525,0.0017525,0.0017525
12,631.345,1.45514,1.84882,1.47685,1.64527,0,0.73086,0.64529,0.69816,0.36783,0.88037,0.72865,0.77717,0.44406,1.44865,1.15188,1.22438,1.73948,0,0.00172775,0.00172775,0.00172775
13,683.479,1.45887,1.85125,1.42072,1.63585,0,0.71202,0.60396,0.65555,0.32441,0.84918,0.71287,0.74346,0.41345,1.4013,1.1866,1.38387,1.73978,0,0.001703,0.001703,0.001703
14,736.357,1.47762,1.88943,1.51221,1.61927,0,0.83834,0.66753,0.76273,0.43429,0.91258,0.72348,0.78395,0.45816,1.29484,1.11013,1.19252,1.61872,0,0.00167825,0.00167825,0.00167825
15,788.381,1.44907,1.84991,1.43721,1.63361,0,0.75509,0.66337,0.7154,0.37454,0.87314,0.74966,0.78565,0.44682,1.48765,1.13846,1.23125,1.7615,0,0.0016535,0.0016535,0.0016535
16,839.476,1.49525,1.94901,1.49762,1.64663,0,0.72933,0.6403,0.72548,0.37218,0.82882,0.71287,0.78067,0.44622,1.40227,1.13145,1.3057,1.69946,0,0.00162875,0.00162875,0.00162875
17,893.608,1.4484,1.83992,1.44098,1.61733,0,0.7454,0.67327,0.71508,0.36185,0.80021,0.72277,0.76894,0.42474,1.41617,1.20854,1.30268,1.74404,0,0.001604,0.001604,0.001604
18,945.743,1.45659,1.87526,1.43607,1.63445,0,0.70193,0.62376,0.65853,0.36525,0.83387,0.74546,0.77638,0.44381,1.44684,1.12581,1.25926,1.73957,0,0.00157925,0.00157925,0.00157925
19,997.146,1.44834,1.83735,1.41846,1.64542,0,0.72456,0.69307,0.73712,0.38324,0.77542,0.74257,0.74879,0.42672,1.38108,1.1302,1.25287,1.71032,0,0.0015545,0.0015545,0.0015545
20,1050.47,1.46238,1.89173,1.40647,1.62584,0,0.77241,0.69307,0.7309,0.39914,0.85226,0.75248,0.79214,0.45374,1.37405,1.13635,1.31063,1.67393,0,0.00152975,0.00152975,0.00152975
21,1102.55,1.40874,1.87245,1.38846,1.60531,0,0.7373,0.68317,0.73773,0.38527,0.777,0.78218,0.74922,0.41924,1.34451,1.12729,1.25625,1.65679,0,0.001505,0.001505,0.001505
